name,priority,focus,platform,route,enabled
Bio-Rad,Tier 2,life science tools; diagnostics; genomics,browser_career,https://careers.bio-rad.com/homepage,True
Bruker,Tier 2,life science instrumentation; spatial/proteomics,browser_career,https://www.bruker.com/en/careers.html,True
Revvity,Tier 2,diagnostics; informatics; genomics,browser_career,https://jobs.revvity.com/search-jobs,True
Bio-Techne,Tier 2,spatial biology; diagnostics; genomics,browser_career,https://www.bio-techne.com/about/careers,True
Waters Corporation,Tier 3,analytical science; informatics,browser_career,https://www.waters.com/nextgen/us/en/about-waters/careers.html,True
Azenta Life Sciences,Tier 2,genomics services; biobanking; sequencing,browser_career,https://careers.azenta.com/,True
Labcorp,Tier 2,clinical genomics; diagnostics,browser_career,https://careers.labcorp.com/global/en/search-results,True
Quest Diagnostics,Tier 2,clinical diagnostics; genomics,browser_career,https://careers.questdiagnostics.com/search-jobs,True
NeoGenomics,Tier 1,oncology genomics; diagnostics,browser_career,https://careers.neogenomics.com/,True
Hologic,Tier 2,molecular diagnostics,browser_career,https://careers.hologic.com/,True
Promega,Tier 3,molecular biology; genomics tools,career_page,https://www.promega.com/aboutus/careers/,True
New England Biolabs,Tier 2,genomics reagents; sequencing,career_page,https://www.neb.com/en-us/about-neb/careers,True
Takara Bio USA,Tier 2,genomics; single-cell; NGS,career_page,https://www.takarabio.com/about/careers,True
Charles River Laboratories,Tier 3,preclinical; genomics services,browser_career,https://jobs.criver.com/,True
One Codex,Tier 1,microbial genomics; metagenomics,career_page,https://www.onecodex.com/careers,True
Clear Labs,Tier 1,microbial genomics; sequencing; food safety,browser_career,https://www.clearlabs.com/careers/,True
Day Zero Diagnostics,Tier 1,infectious disease genomics; WGS,career_page,https://www.dayzerodiagnostics.com/careers,True
Geneoscopy,Tier 1,microbiome; diagnostics; RNA biomarkers,browser_career,https://geneoscopy.com/careers/,True
MyOme,Tier 1,clinical genomics; whole-genome analysis,browser_career,https://www.myome.com/careers,True
Microbiome Insights,Tier 1,microbiome; metagenomics services,career_page,https://microbiomeinsights.com/careers/,True
Biomica,Tier 1,microbiome therapeutics,career_page,https://www.biomicamed.com/careers,True
Enterome,Tier 1,microbiome therapeutics,career_page,https://www.enterome.com/careers/,True
MaaT Pharma,Tier 1,microbiome therapeutics; microbiota,career_page,https://www.maatpharma.com/careers/,True
Microba Life Sciences,Tier 1,metagenomics; microbiome diagnostics,career_page,https://microba.com/careers/,True
